t,train,test
0, 0.8808, 0.8752
1, 0.11919999999999997, 0.12480000000000002
2, 0.11919999999999997, 0.12480000000000002
3, 0.11919999999999997, 0.12480000000000002
4, 0.11919999999999997, 0.12480000000000002
5, 0.11919999999999997, 0.12480000000000002
6, 0.11919999999999997, 0.12480000000000002
7, 0.11919999999999997, 0.12480000000000002
8, 0.11919999999999997, 0.12480000000000002
9, 0.11919999999999997, 0.12480000000000002
10, 0.11919999999999997, 0.12480000000000002
11, 0.11919999999999997, 0.12480000000000002
12, 0.11919999999999997, 0.12480000000000002
13, 0.11919999999999997, 0.12480000000000002
14, 0.11919999999999997, 0.12480000000000002
15, 0.11919999999999997, 0.12480000000000002
16, 0.11919999999999997, 0.12480000000000002
17, 0.11919999999999997, 0.12480000000000002
18, 0.11919999999999997, 0.12480000000000002
19, 0.11919999999999997, 0.12480000000000002
20, 0.11919999999999997, 0.12480000000000002
21, 0.11919999999999997, 0.12480000000000002
22, 0.11919999999999997, 0.12480000000000002
23, 0.11919999999999997, 0.12480000000000002
24, 0.11919999999999997, 0.12480000000000002
25, 0.11919999999999997, 0.12480000000000002
26, 0.11919999999999997, 0.12480000000000002
27, 0.11919999999999997, 0.12480000000000002
28, 0.11919999999999997, 0.12480000000000002
29, 0.11919999999999997, 0.12480000000000002
30, 0.11919999999999997, 0.12480000000000002
31, 0.11919999999999997, 0.12480000000000002
32, 0.11919999999999997, 0.12480000000000002
33, 0.11619999999999997, 0.12219999999999998
34, 0.11619999999999997, 0.12219999999999998
35, 0.11619999999999997, 0.12219999999999998
36, 0.11560000000000004, 0.12180000000000002
37, 0.11560000000000004, 0.12180000000000002
38, 0.11619999999999997, 0.12219999999999998
39, 0.11560000000000004, 0.12180000000000002
40, 0.11560000000000004, 0.12180000000000002
41, 0.11560000000000004, 0.11960000000000004
42, 0.11519999999999997, 0.11960000000000004
43, 0.11560000000000004, 0.11960000000000004
44, 0.11519999999999997, 0.11960000000000004
45, 0.11539999999999995, 0.11960000000000004
46, 0.11519999999999997, 0.11960000000000004
47, 0.11519999999999997, 0.11960000000000004
48, 0.11519999999999997, 0.11960000000000004
49, 0.11519999999999997, 0.11960000000000004
50, 0.11539999999999995, 0.11960000000000004
51, 0.11519999999999997, 0.11960000000000004
52, 0.11539999999999995, 0.11960000000000004
53, 0.11539999999999995, 0.11960000000000004
54, 0.11519999999999997, 0.11960000000000004
55, 0.11460000000000004, 0.11880000000000002
56, 0.11439999999999995, 0.11880000000000002
57, 0.11439999999999995, 0.11880000000000002
58, 0.11439999999999995, 0.11880000000000002
59, 0.11439999999999995, 0.11880000000000002
60, 0.11439999999999995, 0.11880000000000002
61, 0.11419999999999997, 0.11880000000000002
62, 0.11399999999999999, 0.11860000000000004
63, 0.11399999999999999, 0.11860000000000004
64, 0.11380000000000001, 0.11860000000000004
65, 0.11380000000000001, 0.11860000000000004
66, 0.11380000000000001, 0.11839999999999995
67, 0.11380000000000001, 0.11839999999999995
68, 0.11380000000000001, 0.11839999999999995
69, 0.11360000000000003, 0.11699999999999999
70, 0.11339999999999995, 0.11760000000000004
71, 0.11380000000000001, 0.11660000000000004
72, 0.11399999999999999, 0.11639999999999995
73, 0.11399999999999999, 0.11639999999999995
74, 0.11360000000000003, 0.11519999999999997
75, 0.11339999999999995, 0.11499999999999999
76, 0.11380000000000001, 0.11519999999999997
77, 0.11380000000000001, 0.11519999999999997
78, 0.11299999999999999, 0.11460000000000004
79, 0.11360000000000003, 0.11519999999999997
80, 0.11319999999999997, 0.11419999999999997
81, 0.11219999999999997, 0.11399999999999999
82, 0.11199999999999999, 0.11319999999999997
83, 0.11299999999999999, 0.11360000000000003
84, 0.11319999999999997, 0.11319999999999997
85, 0.11160000000000003, 0.11199999999999999
86, 0.11199999999999999, 0.11240000000000006
87, 0.11080000000000001, 0.11219999999999997
88, 0.11099999999999999, 0.11219999999999997
89, 0.11040000000000005, 0.11219999999999997
90, 0.11060000000000003, 0.11199999999999999
91, 0.11099999999999999, 0.11180000000000001
92, 0.11080000000000001, 0.11140000000000005
93, 0.11080000000000001, 0.11119999999999997
94, 0.11080000000000001, 0.11140000000000005
95, 0.11060000000000003, 0.11080000000000001
96, 0.11040000000000005, 0.11060000000000003
97, 0.11040000000000005, 0.11080000000000001
98, 0.11040000000000005, 0.10999999999999999
99, 0.11040000000000005, 0.11060000000000003
100, 0.11040000000000005, 0.11019999999999996
101, 0.11040000000000005, 0.10999999999999999
102, 0.11040000000000005, 0.11040000000000005
103, 0.11019999999999996, 0.10980000000000001
104, 0.11019999999999996, 0.10999999999999999
105, 0.11019999999999996, 0.10999999999999999
106, 0.10999999999999999, 0.10960000000000003
107, 0.10999999999999999, 0.10960000000000003
108, 0.10999999999999999, 0.10960000000000003
109, 0.10999999999999999, 0.10960000000000003
